Batch ID,Wave ID,Order ID,SKU Pattern,BOM Name
B21-4FM900,B21HM,********,11CHGS002-1,11CHGS002-1
B21-4FM900,B21HM,********,11CHGS002-1,11CHGS002-1
B21-4FM900,B21HM,********,11CHGS002-1,11CHGS002-1
B21-4FM900,B21HM,********,11CHGS002-1,11CHGS002-1
B21-4FM900,B21HM,********,11CHGS002-1,11CHGS002-1
B21-4FM901,B21HM,********,11CHGS003NV-1,11CHGS003NV-1
B21-4FM901,B21HM,********,11CHGS003NV-1,11CHGS003NV-1
B21-4FM901,B21HM,********,11CHGS003NV-1,11CHGS003NV-1
B21-4FM901,B21HM,********,11CHGS003NV-1,11CHGS003NV-1
B21-4FM901,B21HM,********,11CHGS003NV-1,11CHGS003NV-1
B21-4FM901,B21HM,********,11CHGS003NV-1,11CHGS003NV-1
B21-4FM902,B21HMCT,********,11CTGS002LG-1,11CTGS002LG-1
B21-4FM902,B21HMCT,********,11CTGS002LG-1,11CTGS002LG-1
B21-4FM902,B21HMCT,********,11CTGS002LG-1,11CTGS002LG-1
B21-4FM902,B21HMCT,********,11CTGS002LG-1,11CTGS002LG-1
B21-4FM902,B21HMCT,********,11CTGS002LG-1,11CTGS002LG-1
B21-4FM902,B21HMCT,********,11CTGS002LG-1,11CTGS002LG-1
B21-4FM902,B21HMCT,********,11CTGS002LG-1,11CTGS002LG-1
B21-4FM902,B21HMCT,********,11CTGS002LG-1,11CTGS002LG-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
B21-4FM903,B21HM,********,4CCHNG18-1,4CCHNG18-1
